episode,total_reward,episode_length,actor_loss,critic_loss,time_taken,total_timesteps
1,2.7199984,198,0.7485602498054504,0.22812430560588837,42.721150636672974,198
2,6.1700034,218,1.3092236518859863,0.3294142186641693,47.763015270233154,416
3,2.0099988,105,91.81137084960938,0.09295540302991867,24.185609817504883,521
4,6.6500015,222,9.817912101745605,0.5624173283576965,47.990453004837036,743
5,11.330007,340,13.490761756896973,0.6682091355323792,71.50049352645874,1083
6,6.17,196,16.97593116760254,0.1767905056476593,43.99025321006775,1279
7,2.3399985,92,2.5002458095550537,0.21842828392982483,22.140934228897095,1371
8,6.7700024,224,2.6581387519836426,0.4904652535915375,47.92789936065674,1595
9,10.140012,299,15.428982734680176,1.3540414571762085,63.564117193222046,1894
10,6.9900084,240,34.29907989501953,0.6465476751327515,51.49464225769043,2134
11,3.3699975,145,25.963359832763672,0.18151861429214478,33.105924129486084,2279
12,9.860015,301,1.5724191665649414,1.8361337184906006,63.68879508972168,2580
13,3.0299978,106,13.007272720336914,0.24174931645393372,24.67049551010132,2686
14,2.4599986,92,40.855865478515625,0.3048953711986542,22.001028060913086,2778
15,2.2299986,110,5.252392768859863,0.17502865195274353,25.52552342414856,2888
16,3.1699977,124,4.098104953765869,0.2322465032339096,29.050674438476562,3012
17,7.5700088,254,2.754974365234375,0.6667916178703308,54.68672060966492,3266
18,3.2999978,112,1.7592777013778687,0.2441979944705963,25.977330923080444,3378
19,7.020007,205,60.59733200073242,1.052027940750122,44.47653818130493,3583
20,4.5600014,189,22.956239700317383,0.2415015995502472,41.25055503845215,3772
21,2.4599984,95,10.803950309753418,0.06801553070545197,23.01283097267151,3867
22,7.9400067,234,2.559260606765747,0.5372680425643921,50.98794436454773,4101
23,3.049998,124,5.406759738922119,0.19310392439365387,28.49292802810669,4225
24,2.0799987,115,3.3320674896240234,0.1203322783112526,26.36521863937378,4340
25,2.0699987,118,3.184589385986328,0.06567054986953735,27.137689352035522,4458
26,3.2899976,140,4.517353534698486,0.25930747389793396,32.133567571640015,4598
27,2.9799976,126,3.1826846599578857,0.1190832182765007,28.9277925491333,4724
28,3.9299972,151,3.5075595378875732,0.26251378655433655,33.70226430892944,4875
29,1.4899992,77,2.1297380924224854,0.0788101926445961,18.72860050201416,4952
30,1.739999,92,2.91656231880188,0.05639021471142769,21.866504907608032,5044
31,5.1400013,176,4.816835880279541,0.425123393535614,39.92712163925171,5220
32,4.5800004,170,5.0261383056640625,0.09243560582399368,37.73306608200073,5390
33,3.379998,105,7.705477714538574,0.17264854907989502,24.284427165985107,5495
34,4.8999996,155,3.543997287750244,0.43480372428894043,34.534157514572144,5650
35,4.5399985,212,14.76581859588623,0.3080326020717621,46.03844976425171,5862
36,3.3599977,105,2.1368725299835205,0.13852699100971222,25.04963517189026,5967
37,3.4599974,140,8.923025131225586,0.15821339190006256,32.21690273284912,6107
38,10.100007,331,4.54910671710968,1.3269660472869873,71.73166251182556,6438
39,4.909998,147,2.115222692489624,0.690398097038269,33.04913139343262,6585
40,4.479998,156,2.6548595428466797,0.37935343384742737,34.92812156677246,6741
41,2.1499987,107,7.876109600067139,0.06429748982191086,26.782296180725098,6848
42,9.720015,331,5.453941106796265,0.9640530943870544,72.18360424041748,7179
43,2.139999,91,6.313994407653809,0.23927244544029236,21.86983370780945,7270
44,3.5599976,133,4.670750617980957,0.23328767716884613,30.13013744354248,7403
45,2.989998,96,5.59034538269043,0.1658354252576828,22.705469131469727,7499
46,2.139999,93,2.2875468730926514,0.06337031722068787,22.603282690048218,7592
47,10.620021,369,8.914923667907715,2.3055847883224487,77.40977096557617,7961
48,1.9499991,79,3.551058769226074,0.09953909367322922,19.21151328086853,8040
49,3.0499978,163,3.9240834712982178,0.12509045004844666,36.48755216598511,8203
50,1.9999987,91,2.0283124446868896,0.03928113728761673,21.508117198944092,8294
51,2.1999989,80,16.127883911132812,0.05801476165652275,19.814568996429443,8374
52,4.629999,231,11.826423645019531,0.08519905805587769,50.72289729118347,8605
53,6.1500025,180,5.174655437469482,0.3956741988658905,39.54273557662964,8785
54,5.780002,200,35.95502471923828,0.3816987872123718,43.429466009140015,8985
55,2.009999,89,3.0314152240753174,0.03158535808324814,21.217156648635864,9074
56,9.780011,282,1.7092895060777664,1.233686625957489,61.03883934020996,9356
57,5.8200016,207,8.224980354309082,0.6561236381530762,45.52595853805542,9563
58,2.3599987,105,15.841114044189453,0.04271874204277992,24.549111366271973,9668
59,5.4700027,197,6.2752275466918945,0.5775268077850342,42.986074447631836,9865
60,3.5699975,128,3.3018269538879395,0.1626604199409485,29.27895951271057,9993
61,4.329997,177,4.562320232391357,0.4095786213874817,39.74403357505798,10170
62,4.3499975,137,257.77215576171875,0.2255048304796219,31.09080457687378,10307
63,1.9199986,87,14.209909439086914,0.14815720915794373,20.919585943222046,10394
64,9.560015,256,4.473729133605957,2.3829824924468994,56.263845443725586,10650
65,10.720013,330,4.632946252822876,1.3780298233032227,69.7947051525116,10980
66,10.6000185,336,2.826152205467224,1.2033300399780273,72.19594168663025,11316
67,3.189998,106,2.3132901191711426,0.32971033453941345,24.71518588066101,11422
68,3.3099976,125,6.940532684326172,0.15934312343597412,28.572839498519897,11547
69,1.6599989,95,5.640160083770752,0.03658006340265274,22.494120121002197,11642
70,2.2899988,88,2.9159958362579346,0.17483966052532196,21.077049493789673,11730
71,3.5699978,124,5.008828163146973,0.1807238906621933,29.131568670272827,11854
72,1.719999,76,5.027857303619385,0.032885462045669556,19.093250274658203,11930
73,2.0099988,105,6.5270819664001465,0.022883761674165726,24.4903621673584,12035
74,9.440004,278,17.600346326828003,1.5975132584571838,59.170817852020264,12313
75,3.0499978,142,5.083976745605469,0.11405020207166672,32.18243074417114,12455
76,5.9300003,156,26.727354049682617,0.599141538143158,35.71836447715759,12611
77,2.279999,90,4.103282928466797,0.1389603167772293,22.51959204673767,12701
78,2.959998,136,2.360731363296509,0.06388217955827713,30.960602283477783,12837
79,4.4199996,167,2.601578950881958,0.35579565167427063,37.1352334022522,13004
80,1.4199995,60,4.31874418258667,0.052864253520965576,15.588905334472656,13064
81,6.9100065,262,2.593198537826538,0.5434960871934891,57.66872239112854,13326
82,2.7399979,123,10.737078666687012,0.21860483288764954,28.18355131149292,13449
83,3.179998,125,3.997558355331421,0.11650913208723068,28.61747455596924,13574
84,1.9699987,82,6.2690606117248535,0.052767012268304825,19.98281168937683,13656
85,2.2299988,94,3.619516134262085,0.03837293013930321,22.284032583236694,13750
86,2.0299988,85,2.655524730682373,0.12759257853031158,21.024664878845215,13835
87,10.630013,332,6.004843711853027,2.405331015586853,70.50780653953552,14167
88,2.0399988,90,71.88267517089844,0.04061678424477577,21.538962602615356,14257
89,1.7499993,63,3.1846396923065186,0.0329311266541481,16.09680676460266,14320
90,9.84001,273,3.303030028939247,1.639221429824829,58.088685274124146,14593
91,2.259999,76,6.867194175720215,0.1344209760427475,19.295899868011475,14669
92,8.580014,282,2.1262492686510086,1.311961591243744,60.70477795600891,14951
93,1.9899987,82,10.009891510009766,0.04984034225344658,19.872352123260498,15033
94,2.959998,132,1.7103675603866577,0.06800733506679535,29.93850064277649,15165
95,10.720009,285,13.242485046386719,1.3822737336158752,60.804986238479614,15450
96,3.0099976,114,4.4744791984558105,0.1328270435333252,27.288426637649536,15564
97,10.470017,317,2.2651055455207825,2.8503721952438354,67.73588418960571,15881
98,2.0399985,101,15.602151870727539,0.02884601801633835,23.70823860168457,15982
99,1.7699989,94,4.371567726135254,0.017303917557001114,22.35792088508606,16076
100,8.010008,259,4.291200280189514,1.3449854850769043,55.43243598937988,16335
101,3.8199975,111,3.4461312294006348,0.4602639675140381,26.344336986541748,16446
102,4.6100016,176,15.207777976989746,0.21164517104625702,39.74151968955994,16622
103,10.560012,357,5.041338205337524,1.4602202773094177,74.96647191047668,16979
104,1.7099988,117,10.317618370056152,0.16813676059246063,26.89229965209961,17096
105,11.180018,353,8.023151874542236,2.207170248031616,74.23942422866821,17449
106,11.720008,349,6.262789249420166,1.0969228148460388,74.42416000366211,17798
107,1.5799991,99,23.133655548095703,0.01468595489859581,23.25086522102356,17897
108,3.1099982,105,5.26189661026001,0.25034159421920776,24.37262201309204,18002
109,8.010008,270,29.678349494934082,0.5907778739929199,57.29168391227722,18272
110,4.560001,179,5.432849884033203,0.15855805575847626,39.27989959716797,18451
111,1.4499992,70,4.90613317489624,0.10155535489320755,17.684495210647583,18521
112,4.6,156,12.515052795410156,0.23064173758029938,35.61777901649475,18677
113,12.02002,289,3.500147819519043,2.053052067756653,61.35538721084595,18966
114,2.0999987,97,7.76073694229126,0.29645344614982605,22.76188850402832,19063
115,4.9899993,160,3.986372470855713,0.521136462688446,35.320297956466675,19223
116,7.200002,213,7.509315490722656,0.5373561978340149,47.66833162307739,19436
117,1.3199996,65,6.52164888381958,0.040616799145936966,16.64141011238098,19501
118,2.4199982,100,2.4009509086608887,0.04518851265311241,23.99858593940735,19601
